Days ago,Price (USD),Market Cap (USD),Volume (USD),Days ago,Price (USD),Market Cap (USD),Volume (USD),CV_9day,CC_9day,CV_20day,CC_20day,CV_50day,CC_50day,CV_200day,CC_200day,CV_365day,CC_365day
34.0,2.6622761847014194,0.0,1261807.7287223581,34.0,41862.3609856517,791648558214.5575,18016718173.608612,23.40417596222937,0.5748499330316647,35.43572066328777,0.536141689064491,175.61918411676942,0.28786498079932116,1116.14588811717,0.31747649355984675,,
35.0,2.6557865324393726,0.0,939304.7524705552,35.0,41756.66232397826,792892599975.9554,23337017232.770664,15.141511516226219,0.41546324739673857,27.636423359259005,0.4465814538843278,170.8288940057738,0.26940708445907474,1121.833869155918,0.31769189700231026,,
36.0,2.58577909488125,0.0,2461302.4401078937,36.0,41527.197042644846,787735561341.1113,79685254648.07628,7.986970679260178,0.2694892555591182,19.5423507818021,0.35323979060048044,165.68006698278464,0.25545210961660403,1132.9813152455135,0.31902193347312396,,
37.0,2.5926311485206956,0.0,1879009.7826392595,37.0,43216.45867693359,819522879407.0583,26366602396.811768,-1.323543303288294,-0.061750234159203596,10.04347546141747,0.21539484534726983,158.240199665145,0.24152067363923968,1149.5683271552844,0.3215486948380685,,
38.0,3.0240461666449026,0.0,2778718.3696480417,38.0,43647.147508068054,827723202715.1049,31837641246.01787,-7.504430461655079,-0.4832611996384389,0.9704334235959552,0.022400241113363088,149.03047338347932,0.21832624786214977,1161.8251605223963,0.32370233584756986,,
39.0,3.124923388078333,0.0,7851676.186940599,39.0,45938.02427172366,876242689666.1957,24895990583.663242,-5.061466686732091,-0.3853384448412814,0.20198398713225635,0.005065996331653247,152.2214250029423,0.21422612383849574,1167.1287811508828,0.3239523722654073,,
40.0,3.5959522983733043,0.0,2100849.613512341,40.0,46531.140860530526,880330191985.1965,21890019531.577713,-1.8092758442196226,-0.12132952964215646,2.679390649313408,0.06369218417658823,159.49230334145798,0.2100013653159533,1173.4611990211224,0.3244284413810112,,
41.0,3.4432422933149978,0.0,2123718.058101091,41.0,47387.212167697246,897536090320.9355,33756128241.98571,3.074232050190068,0.20564916967680186,5.980945943386565,0.13470120462063626,178.6702351602772,0.21952048847903377,1180.8664586953978,0.3261497302535506,,
42.0,3.3756896429489616,0.0,3661954.656212601,42.0,47816.07767640849,904551946917.3206,18904585811.03402,6.729927548858053,0.40522369006005116,2.5625554310365044,0.051489633125675276,194.6839979945346,0.22620333898259384,1181.0674382914945,0.3256899153508035,,
43.0,3.431430923624761,0.0,13242431.646892909,43.0,46319.65108805251,876192941903.0961,25895349604.886154,9.938467336128479,0.5330627825682572,5.953296398037637,0.11350366610258222,208.57320363329615,0.23069639116753837,1180.641416254922,0.32527283082825564,,
44.0,3.267678495740912,0.0,4042460.9259312865,44.0,47191.86838983951,892648631305.5416,23753871435.216618,12.525025099368452,0.6977103175684184,12.179583855674741,0.20929267810271263,224.89404931112298,0.2373550251772424,1179.546537192249,0.3247669127299931,,
45.0,3.321412091347887,0.0,6050711.085877487,45.0,46506.99464767938,874314106559.5542,26348739119.378136,14.44613561200042,0.744666403926912,9.537378995527696,0.1437801169457523,240.80963359308237,0.24300787533004348,1179.6781025002265,0.32423360214390334,,
